"Time","C2H141"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/11/1977,""
00:00:00 01/12/1977,       8.476
00:00:00 01/01/1978,       8.951
00:00:00 01/02/1978,      48.606
00:00:00 01/03/1978,      32.436
00:00:00 01/04/1978,      18.186
00:00:00 01/05/1978,      12.692
00:00:00 01/06/1978,       9.515
00:00:00 01/07/1978,       9.321
00:00:00 01/08/1978,       8.880
00:00:00 01/09/1978,       7.792
00:00:00 01/10/1978,       8.436
00:00:00 01/11/1978,       8.349
00:00:00 01/12/1978,       7.245
00:00:00 01/01/1979,       7.327
00:00:00 01/02/1979,       7.046
00:00:00 01/03/1979,       8.726
00:00:00 01/04/1979,       6.751
00:00:00 01/05/1979,       6.588
00:00:00 01/06/1979,       6.508
00:00:00 01/07/1979,       6.969
00:00:00 01/08/1979,       7.491
00:00:00 01/09/1979,       8.575
00:00:00 01/10/1979,       6.934
00:00:00 01/11/1979,       8.317
00:00:00 01/12/1979,      22.859
00:00:00 01/01/1980,      12.110
00:00:00 01/02/1980,      20.657
00:00:00 01/03/1980,      16.484
00:00:00 01/04/1980,      10.197
00:00:00 01/05/1980,       7.697
00:00:00 01/06/1980,       7.251
00:00:00 01/07/1980,       7.765
00:00:00 01/08/1980,       7.327
00:00:00 01/09/1980,       6.869
00:00:00 01/10/1980,       7.668
00:00:00 01/11/1980,       5.915
00:00:00 01/12/1980,       7.109
00:00:00 01/01/1981,      12.371
00:00:00 01/02/1981,      12.332
00:00:00 01/03/1981,      17.524
00:00:00 01/04/1981,      32.722
00:00:00 01/05/1981,       9.465
00:00:00 01/06/1981,       8.952
00:00:00 01/07/1981,       8.793
00:00:00 01/08/1981,       8.341
00:00:00 01/09/1981,       7.928
00:00:00 01/10/1981,       9.498
00:00:00 01/11/1981,      10.227
00:00:00 01/12/1981,       7.559
00:00:00 01/01/1982,      10.336
00:00:00 01/02/1982,      13.883
00:00:00 01/03/1982,       9.360
00:00:00 01/04/1982,       9.529
00:00:00 01/05/1982,       7.758
00:00:00 01/06/1982,       7.372
00:00:00 01/07/1982,       8.271
00:00:00 01/08/1982,       8.741
00:00:00 01/09/1982,       7.083
00:00:00 01/10/1982,       6.382
00:00:00 01/11/1982,       6.355
00:00:00 01/12/1982,       6.467
00:00:00 01/01/1983,       7.767
00:00:00 01/02/1983,       9.502
00:00:00 01/03/1983,       8.266
00:00:00 01/04/1983,       6.147
00:00:00 01/05/1983,       6.088
00:00:00 01/06/1983,       5.495
00:00:00 01/07/1983,       7.576
00:00:00 01/08/1983,       6.833
00:00:00 01/09/1983,       6.539
00:00:00 01/10/1983,""
00:00:00 01/11/1983,       6.097
00:00:00 01/12/1983,       8.839
00:00:00 01/01/1984,      14.393
00:00:00 01/02/1984,      10.041
00:00:00 01/03/1984,       4.030
00:00:00 01/04/1984,       5.431
00:00:00 01/05/1984,       5.989
00:00:00 01/06/1984,       5.431
00:00:00 01/07/1984,       6.041
00:00:00 01/08/1984,       6.708
00:00:00 01/09/1984,       5.336
00:00:00 01/10/1984,       4.692
00:00:00 01/11/1984,       5.464
00:00:00 01/12/1984,       7.812
00:00:00 01/01/1985,       7.055
00:00:00 01/02/1985,       9.093
00:00:00 01/03/1985,       7.796
00:00:00 01/04/1985,      10.396
00:00:00 01/05/1985,       6.685
00:00:00 01/06/1985,       7.194
00:00:00 01/07/1985,       7.705
00:00:00 01/08/1985,       7.791
00:00:00 01/09/1985,       6.545
00:00:00 01/10/1985,       6.043
00:00:00 01/11/1985,       4.193
00:00:00 01/12/1985,      18.293
00:00:00 01/01/1986,      10.298
00:00:00 01/02/1986,      11.717
00:00:00 01/03/1986,      13.571
00:00:00 01/04/1986,       9.672
00:00:00 01/05/1986,       8.956
00:00:00 01/06/1986,       7.257
00:00:00 01/07/1986,       8.657
00:00:00 01/08/1986,       7.811
00:00:00 01/09/1986,       6.870
00:00:00 01/10/1986,       6.482
00:00:00 01/11/1986,       9.028
00:00:00 01/12/1986,      10.787
00:00:00 01/01/1987,      16.952
00:00:00 01/02/1987,      14.727
00:00:00 01/03/1987,      13.661
00:00:00 01/04/1987,      16.417
00:00:00 01/05/1987,      10.096
00:00:00 01/06/1987,       8.041
00:00:00 01/07/1987,       8.189
00:00:00 01/08/1987,       8.192
00:00:00 01/09/1987,       7.900
00:00:00 01/10/1987,      14.653
00:00:00 01/11/1987,      11.632
00:00:00 01/12/1987,      14.012
00:00:00 01/01/1988,      18.831
00:00:00 01/02/1988,      13.482
00:00:00 01/03/1988,       9.594
00:00:00 01/04/1988,      19.162
00:00:00 01/05/1988,      10.245
00:00:00 01/06/1988,       9.205
00:00:00 01/07/1988,       9.244
00:00:00 01/08/1988,       9.165
00:00:00 01/09/1988,       7.871
00:00:00 01/10/1988,       9.518
00:00:00 01/11/1988,       9.046
00:00:00 01/12/1988,       8.168
00:00:00 01/01/1989,      10.314
00:00:00 01/02/1989,      12.862
00:00:00 01/03/1989,      25.398
00:00:00 01/04/1989,      11.289
00:00:00 01/05/1989,       9.516
00:00:00 01/06/1989,      10.108
00:00:00 01/07/1989,      11.221
00:00:00 01/08/1989,       9.403
00:00:00 01/09/1989,       9.100
00:00:00 01/10/1989,       7.520
00:00:00 01/11/1989,       7.201
00:00:00 01/12/1989,      10.893
00:00:00 01/01/1990,      12.157
00:00:00 01/02/1990,      10.386
00:00:00 01/03/1990,      11.324
00:00:00 01/04/1990,      11.525
00:00:00 01/05/1990,      12.612
00:00:00 01/06/1990,      13.071
00:00:00 01/07/1990,       9.368
00:00:00 01/08/1990,       9.107
00:00:00 01/09/1990,       8.764
00:00:00 01/10/1990,       7.941
00:00:00 01/11/1990,       7.312
00:00:00 01/12/1990,       6.348
00:00:00 01/01/1991,       9.826
00:00:00 01/02/1991,      12.284
00:00:00 01/03/1991,      15.365
00:00:00 01/04/1991,      19.487
00:00:00 01/05/1991,       9.753
00:00:00 01/06/1991,       9.121
00:00:00 01/07/1991,       9.347
00:00:00 01/08/1991,       8.742
00:00:00 01/09/1991,       8.176
00:00:00 01/10/1991,       8.006
00:00:00 01/11/1991,       8.395
00:00:00 01/12/1991,       7.484
00:00:00 01/01/1992,       8.139
00:00:00 01/02/1992,       7.596
00:00:00 01/03/1992,       7.761
00:00:00 01/04/1992,       7.517
00:00:00 01/05/1992,       7.530
00:00:00 01/06/1992,       7.033
00:00:00 01/07/1992,       7.865
00:00:00 01/08/1992,       7.095
00:00:00 01/09/1992,""
00:00:00 01/10/1992,       6.679
00:00:00 01/11/1992,       6.025
00:00:00 01/12/1992,      10.441
00:00:00 01/01/1993,      12.012
00:00:00 01/02/1993,       8.383
00:00:00 01/03/1993,      10.980
00:00:00 01/04/1993,      11.921
00:00:00 01/05/1993,       9.815
00:00:00 01/06/1993,       8.822
00:00:00 01/07/1993,       8.112
00:00:00 01/08/1993,       8.162
00:00:00 01/09/1993,       8.056
00:00:00 01/10/1993,       7.104
00:00:00 01/11/1993,      18.082
00:00:00 01/12/1993,      10.484
00:00:00 01/01/1994,      11.706
00:00:00 01/02/1994,      13.782
00:00:00 01/03/1994,      20.255
00:00:00 01/04/1994,      12.137
00:00:00 01/05/1994,      10.837
00:00:00 01/06/1994,       9.570
00:00:00 01/07/1994,       9.708
00:00:00 01/08/1994,       9.586
00:00:00 01/09/1994,       9.056
00:00:00 01/10/1994,       8.164
00:00:00 01/11/1994,       9.034
00:00:00 01/12/1994,""
00:00:00 01/01/1995,""
00:00:00 01/02/1995,      11.656
00:00:00 01/03/1995,      10.255
00:00:00 01/04/1995,      16.191
00:00:00 01/05/1995,      11.413
00:00:00 01/06/1995,""
00:00:00 01/07/1995,       9.856
00:00:00 01/08/1995,       9.406
00:00:00 01/09/1995,       9.156
00:00:00 01/10/1995,       8.706
00:00:00 01/11/1995,      10.191
00:00:00 01/12/1995,      13.659
00:00:00 01/01/1996,      22.887
00:00:00 01/02/1996,      19.924
00:00:00 01/03/1996,      40.800
00:00:00 01/04/1996,      13.902
00:00:00 01/05/1996,      14.179
00:00:00 01/06/1996,      11.174
00:00:00 01/07/1996,      10.448
00:00:00 01/08/1996,      10.116
00:00:00 01/09/1996,      10.247
00:00:00 01/10/1996,       9.145
00:00:00 01/11/1996,      12.649
00:00:00 01/12/1996,      12.747
00:00:00 01/01/1997,      15.512
00:00:00 01/02/1997,      14.037
00:00:00 01/03/1997,      12.715
00:00:00 01/04/1997,      39.255
00:00:00 01/05/1997,      15.181
00:00:00 01/06/1997,      20.875
00:00:00 01/07/1997,      12.334
00:00:00 01/08/1997,      11.494
00:00:00 01/09/1997,      10.570
00:00:00 01/10/1997,      11.587
00:00:00 01/11/1997,       9.904
00:00:00 01/12/1997,      11.096
00:00:00 01/01/1998,      12.703
00:00:00 01/02/1998,      21.600
00:00:00 01/03/1998,      14.518
00:00:00 01/04/1998,      10.916
00:00:00 01/05/1998,       9.755
00:00:00 01/06/1998,       9.483
00:00:00 01/07/1998,       9.679
00:00:00 01/08/1998,       9.727
00:00:00 01/09/1998,       9.414
00:00:00 01/10/1998,       9.362
00:00:00 01/11/1998,      10.188
00:00:00 01/12/1998,      19.417
00:00:00 01/01/1999,      14.735
00:00:00 01/02/1999,      13.226
00:00:00 01/03/1999,      11.498
00:00:00 01/04/1999,      10.467
00:00:00 01/05/1999,       9.556
00:00:00 01/06/1999,      10.000
00:00:00 01/07/1999,       9.712
00:00:00 01/08/1999,       9.531
00:00:00 01/09/1999,       9.301
00:00:00 01/10/1999,       9.230
00:00:00 01/11/1999,       8.502
00:00:00 01/12/1999,       9.720
00:00:00 01/01/2000,      11.818
00:00:00 01/02/2000,      16.860
00:00:00 01/03/2000,      41.645
00:00:00 01/04/2000,      22.785
00:00:00 01/05/2000,      14.783
00:00:00 01/06/2000,      12.359
00:00:00 01/07/2000,      10.875
00:00:00 01/08/2000,      10.565
00:00:00 01/09/2000,      10.174
00:00:00 01/10/2000,      10.589
00:00:00 01/11/2000,      11.462
00:00:00 01/12/2000,      11.761
00:00:00 01/01/2001,      14.286
00:00:00 01/02/2001,      10.146
00:00:00 01/03/2001,      11.982
00:00:00 01/04/2001,      11.188
00:00:00 01/05/2001,       9.927
00:00:00 01/06/2001,      11.121
00:00:00 01/07/2001,      10.341
00:00:00 01/08/2001,      10.314
00:00:00 01/09/2001,      10.042
00:00:00 01/10/2001,      12.432
00:00:00 01/11/2001,      12.980
00:00:00 01/12/2001,      14.365
00:00:00 01/01/2002,      13.994
00:00:00 01/02/2002,      12.361
00:00:00 01/03/2002,      14.544
00:00:00 01/04/2002,      11.905
00:00:00 01/05/2002,      10.412
00:00:00 01/06/2002,      10.362
00:00:00 01/07/2002,      11.708
00:00:00 01/08/2002,      10.439
00:00:00 01/09/2002,      10.405
00:00:00 01/10/2002,      10.035
00:00:00 01/11/2002,""
00:00:00 01/12/2002,       9.443
00:00:00 01/01/2003,      10.681
00:00:00 01/02/2003,      10.744
00:00:00 01/03/2003,      10.781
00:00:00 01/04/2003,      10.309
00:00:00 01/05/2003,       9.510
00:00:00 01/06/2003,       9.258
00:00:00 01/07/2003,       9.595
00:00:00 01/08/2003,       9.557
00:00:00 01/09/2003,       9.525
00:00:00 01/10/2003,""
00:00:00 01/11/2003,       8.941
00:00:00 01/12/2003,      10.018
00:00:00 01/01/2004,       6.388
00:00:00 01/02/2004,      10.004
00:00:00 01/03/2004,      15.597
00:00:00 01/04/2004,      11.902
00:00:00 01/05/2004,       7.983
00:00:00 01/06/2004,""
00:00:00 01/07/2004,""
00:00:00 01/08/2004,""
00:00:00 01/09/2004,""
00:00:00 01/10/2004,""
00:00:00 01/11/2004,""
00:00:00 01/12/2004,""
00:00:00 01/01/2005,""
00:00:00 01/02/2005,""
00:00:00 01/03/2005,""
00:00:00 01/04/2005,""
00:00:00 01/05/2005,""
00:00:00 01/06/2005,""
00:00:00 01/07/2005,""
00:00:00 01/08/2005,""
00:00:00 01/09/2005,""
00:00:00 01/10/2005,""
00:00:00 01/11/2005,""
00:00:00 01/12/2005,""
00:00:00 01/01/2006,""
00:00:00 01/02/2006,""
00:00:00 01/03/2006,""
00:00:00 01/04/2006,""
00:00:00 01/05/2006,""
00:00:00 01/06/2006,""
00:00:00 01/07/2006,""
00:00:00 01/08/2006,""
00:00:00 01/09/2006,""
00:00:00 01/10/2006,""
00:00:00 01/11/2006,""
00:00:00 01/12/2006,""
00:00:00 01/01/2007,""
00:00:00 01/02/2007,""
00:00:00 01/03/2007,""
00:00:00 01/04/2007,""
00:00:00 01/05/2007,""
00:00:00 01/06/2007,""
00:00:00 01/07/2007,""
00:00:00 01/08/2007,""
00:00:00 01/09/2007,""
00:00:00 01/10/2007,""
00:00:00 01/11/2007,""
00:00:00 01/12/2007,""
00:00:00 01/01/2008,""
00:00:00 01/02/2008,""
00:00:00 01/03/2008,""
00:00:00 01/04/2008,""
00:00:00 01/05/2008,""
00:00:00 01/06/2008,""
00:00:00 01/07/2008,""
00:00:00 01/08/2008,""
00:00:00 01/09/2008,""
00:00:00 01/10/2008,""
00:00:00 01/11/2008,""
00:00:00 01/12/2008,""
00:00:00 01/01/2009,""
00:00:00 01/02/2009,""
00:00:00 01/03/2009,""
00:00:00 01/04/2009,""
00:00:00 01/05/2009,""
00:00:00 01/06/2009,""
00:00:00 01/07/2009,""
00:00:00 01/08/2009,""
00:00:00 01/09/2009,""
00:00:00 01/10/2009,""
00:00:00 01/11/2009,""
00:00:00 01/12/2009,""
00:00:00 01/01/2010,""
00:00:00 01/02/2010,""
00:00:00 01/03/2010,""
00:00:00 01/04/2010,""
00:00:00 01/05/2010,""
00:00:00 01/06/2010,""
00:00:00 01/07/2010,""
00:00:00 01/08/2010,""
00:00:00 01/09/2010,""
00:00:00 01/10/2010,""
00:00:00 01/11/2010,""
00:00:00 01/12/2010,""
00:00:00 01/01/2011,""
00:00:00 01/02/2011,""
00:00:00 01/03/2011,""
00:00:00 01/04/2011,""
00:00:00 01/05/2011,""
00:00:00 01/06/2011,""
00:00:00 01/07/2011,""
00:00:00 01/08/2011,""
00:00:00 01/09/2011,""
00:00:00 01/10/2011,""
00:00:00 01/11/2011,""
